operation,file_size,num_clients,num_servers,total_time,total_bytes,throughput,success,fail
upload,10,1,1,0.73,10485772,14353551.25,1,0
upload,10,5,1,5.14,52428860,10209245.16,5,0
upload,10,50,1,233.96,524288600,2240895.76,50,0
upload,50,1,1,1.17,51685773,44144261.06,1,0
upload,50,5,1,12.62,258428865,20484101.97,5,0
upload,50,50,1,1585.89,2584288650,1629555.83,50,0
upload,100,1,1,4.1,104857621,25586241.15,1,0
upload,100,5,1,38.41,524288105,13650022.97,5,0
download,10,1,1,0.5,10485772,20922827.38,1,0
download,10,5,1,4.52,52428860,11606105.6,5,0
download,10,50,1,278.58,524288600,1882008.84,50,0
download,50,1,1,5.16,51685773,10024756.22,1,0
download,50,5,1,63.68,258428865,4058254.3,5,0
download,50,50,1,4750.57,2584288650,543995.76,50,0
download,100,1,1,17.76,104857621,5903465.12,1,0
download,100,5,1,235.67,524288105,2224709.74,5,0
download,100,50,1,20238.13,5242881050,259059.56,50,0
upload,10,1,5,0.33,10485772,31664874.25,1,0
upload,10,5,5,6.29,52428860,8339666.47,5,0
upload,10,50,5,295.98,524288600,1771356.5,50,0
upload,50,1,5,1.54,51685773,33483795.43,1,0
upload,50,5,5,21.15,258428865,12221655.71,5,0
upload,50,50,5,1754.73,2584288650,1472754.88,50,0
upload,100,1,5,3.22,104857621,32574364.68,1,0
upload,100,5,5,23.67,524288105,22148336.88,5,0
download,10,1,5,0.59,10485772,17823071.99,1,0
download,10,5,5,9.14,52428860,5735772.94,5,0
download,10,50,5,309.96,524284748,1691463.19,50,0
download,50,1,5,5.43,51685773,9511600.28,1,0
download,50,5,5,45.16,258428865,5722325.79,5,0
download,50,50,5,1969.5,2584288650,1312156.66,50,0
download,100,1,5,19.49,104857621,5381091.37,1,0
download,100,5,5,165.51,524288105,3167784.62,5,0
download,100,50,5,7417.25,5142805805,693357.86,50,0
upload,10,1,50,0.85,10485772,12327424.51,1,0
upload,10,5,50,10.3,52428860,5092049.99,5,0
upload,10,50,50,864.22,524288600,606664.03,50,0
upload,50,1,50,1.92,51685773,26961300.85,1,0
upload,50,5,50,20.45,258428865,12636664.83,5,0
upload,100,1,50,4.77,104857621,21970737.93,1,0
upload,100,5,50,77.46,524288105,6768277.32,5,0
download,10,1,50,0.84,10485772,12509821.13,1,0
download,10,5,50,6.37,52428860,8231195.79,5,0
download,10,50,50,338.51,524288600,1548817.26,50,0
download,50,1,50,11.75,51685773,4397893.69,1,0
download,50,5,50,17.91,258428865,14426359.28,5,0
download,50,50,50,2821.83,2584288650,915819.15,50,0
download,100,1,50,18.97,104857621,5527146.96,1,0
download,100,5,50,155.27,524288105,3376718.4,5,0
upload,10,1,1,1.13,10485772,9278942.12,1,0
upload,10,5,1,9.81,52428860,5342906.39,5,0
upload,10,50,1,108.36,524288600,4838259.53,50,0
upload,50,1,1,1.94,51685773,26671746.0,1,0
upload,50,5,1,18.74,258428865,13787765.82,5,0
upload,50,50,1,2672.26,2584288650,967081.41,50,0
upload,100,1,1,3.46,104857621,30309425.66,1,0
upload,100,5,1,22.45,524288105,23353684.87,5,0
download,10,1,1,0.83,10485772,12700145.64,1,0
download,10,5,1,9.94,52428860,5274907.8,5,0
download,10,50,1,304.88,524288600,1719634.17,50,0
download,50,1,1,6.31,51685773,8188222.22,1,0
download,50,5,1,62.38,258428865,4142633.85,5,0
download,50,50,1,5036.97,2584288650,513064.09,50,0
download,100,1,1,22.15,104857621,4733981.16,1,0
download,100,5,1,290.64,524288105,1803923.61,5,0
download,100,50,1,23768.72,5242881050,220578.99,50,0
upload,10,1,5,2.37,10485772,4415317.64,1,0
upload,10,5,5,5.07,52428860,10347018.04,5,0
upload,10,50,5,491.5,524288600,1066716.01,50,0
upload,50,1,5,1.72,51685773,30091595.81,1,0
upload,50,5,5,12.41,258428865,20832544.8,5,0
upload,50,50,5,1776.42,2584288650,1454776.39,50,0
upload,100,1,5,3.31,104857621,31704708.73,1,0
upload,100,5,5,19.61,524288105,26734045.17,5,0
download,10,1,5,2.36,10485772,4447942.78,1,0
download,10,5,5,7.33,52428860,7151826.86,5,0
download,10,50,5,390.81,524288600,1341547.23,50,0
download,50,1,5,6.95,51685773,7440422.69,1,0
download,50,5,5,42.21,258428865,6123176.6,5,0
download,50,50,5,1668.57,2584288650,1548801.67,50,0
download,100,1,5,21.38,104857621,4904631.8,1,0
download,100,5,5,203.72,524288105,2573613.35,5,0
download,100,50,5,8465.08,5242881050,619353.97,50,0
upload,10,1,50,0.89,10485772,11779530.76,1,0
upload,10,5,50,5.46,52428860,9609809.48,5,0
upload,10,50,50,437.31,524288600,1198897.32,50,0
upload,50,1,50,12.9,51685773,4007997.0,1,0
upload,50,5,50,47.12,258428865,5484344.65,5,0
upload,100,1,50,6.01,104857621,17459243.02,1,0
upload,100,5,50,86.57,524288105,6056574.94,5,0
download,10,1,50,0.79,10485772,13329165.75,1,0
download,10,5,50,3.68,52428860,14227728.54,5,0
download,10,50,50,188.61,524288600,2779676.67,50,0
download,50,1,50,4.2,51685773,12314422.76,1,0
download,50,5,50,33.57,258428865,7697250.21,5,0
download,100,1,50,5.98,104857621,17534524.83,1,0
download,100,5,50,65.0,524288105,8066392.76,5,0
